Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
FX3593;CORERACER;CHAUSSURES;SPORTSWEAR FTW MEN;55;B;A;X;X;;X
FX3594;CORERACER;CHAUSSURES;SPORTSWEAR FTW MEN;55;B;A;X;X;;
FX3603;CORERACER;CHAUSSURES;SPORTSWEAR FTW WOMEN;55;A;A;X;X;;
FX3614;CORERACER;CHAUSSURES;SPORTSWEAR FTW WOMEN;55;A;A;X;X;;
FX3624;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW MEN;55;A;A;X;X;;X
FX3633;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW MEN;55;B;A;X;X;;
FX3639;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW WOMEN;55;A;A;X;X;;
FX3640;ULTIMASHOW;CHAUSSURES;SPORTSWEAR FTW WOMEN;55;B;A;X;X;;
FX5090;CONTINENTAL 80 STRIPES;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;110;B;A;X;;X;
FX5117;MULTIX;CHAUSSURES;SPORTSWEAR FTW MEN;90;B;A;X;X;;
FX6405;MULTIX EL I;CHAUSSURES;SPORTSWEAR FTW KIDS;55;A;A;X;X;;
FX7483;SUPERSTAR W;CHAUSSURES;ORIGINALS FTW WOMEN;110;A;A;X;;X;X
FX7484;SUPERSTAR W;CHAUSSURES;ORIGINALS FTW WOMEN;110;B;A;X;;X;
FX7523;STAN SMITH J;CHAUSSURES;ORIGINALS FTW KIDS;75;B;A;X;;X;X
FX7524;STAN SMITH C;CHAUSSURES;ORIGINALS FTW KIDS;65;A;A;X;;X;
FX7528;STAN SMITH EL I;CHAUSSURES;ORIGINALS FTW KIDS;65;A;A;X;;X;
FK0894;BBALL 3S CAP CT;ACCESSOIRES;TRAINING ACC HW ALL;20;A;A;X;X;;
FX7534;STAN SMITH CF C;CHAUSSURES;ORIGINALS FTW KIDS;65;A;A;X;;X;X
FX7535;STAN SMITH CF C;CHAUSSURES;ORIGINALS FTW KIDS;65;B;A;X;;;
FX7537;STAN SMITH CF I;CHAUSSURES;ORIGINALS FTW KIDS;55;B;A;X;;;
FX7538;STAN SMITH CF I;CHAUSSURES;ORIGINALS FTW KIDS;55;A;A;X;;X;
FX7539;STAN SMITH CF C;CHAUSSURES;ORIGINALS FTW KIDS;65;B;A;X;;;
FX8707;BREAKNET;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW MEN;60;A;A;;X;;
